"Tape,"" Ghi b?ng, b?ng"",teip,1,4"
"Terminal, Máy tr?m,t?:minl,1,4"
"Transmit, Truy?n,trænz'mit,1,1"
"Abacus, Bàn tính,æb?k?s,1,4"
"Allocate,  Phân ph?i,æl?keit,1,1"
"Analog, T??ng t?,?anl?ô?,1,4"
"Application, ?ng d?ng,"",æpli'kei?n"",1,4"
"Binary,"" Nh? phân, thu?c v? nh? phân"",bain?ri,1,1"
"Calculation, Tính toán,"",kælkj?'lei?n"",1,4"
"Command,"" Ra l?nh, l?nh (trong máy tính)"",k?'m?:nd,1,1"
"Dependable, Có th? tin c?y ???c,di'pend?bl,1,3"
"Devise, Phát minh,di'vaiz,2,1"
"Different, Khác bi?t,difr?nt,2,3"
"Digital,"" S?, thu?c v? s?"",did?itl,2,4"
"Experiment, Thí nghi?m,ik'sperim?nt,2,4"
"Figure out,"" Tính toán, tìm ra"",f????? ?a??t,2,1"
"Generation, Th? h?,d?en?'rei?n,2,4"
"History, L?ch s?,histri,2,4"
"Imprint,""  In, kh?c"",im'print,2,1"
"Integrate, Tích h?p,intigreit,2,1"
"Invention, Phát minh,in'ven?n,2,4"
"Layer,"" T?ng, l?p"",lei?[r],2,4"
"Mainframe computer, Máy tính l?n,m?e??nf?e??m k?mpj?u?t?,2,4"
"Ability, Kh? n?ng,?'biliti,2,4"
"Access, S? truy c?p,ækses,2,4"
"Acoustic coupler, B? ghép âm,?k?u?st?k k??pl?,2,4"
"Analyst, Nhà phân tích,æn?list,2,4"
"Centerpiece, M?nh trung tâm,?s?nt??pi?s,2,4"
"Channel,  Kênh,'t?ænl,2,4"
"Characteristic,""??c thù, ??c tr?ng"","",kær?kt?'ristik"",2,4"
"Cluster controller, B? ?i?u khi?n trùm,,2,4"
"Consist (of), Bao g?m,k?n'sist,2,1"
"Convert, Chuy?n ??i,k?n'v?:t,2,1"
"Equipment, Trang thi?t b?,i'kwipm?nt,2,4"
"Multiplexor , B? d?n kênh,,2,4"
"Network, M?ng,netw?:k,2,4"
"Peripheral, Ngo?i vi,p?'rif?r?l,2,4"
"Reliability, S? có th? tin c?y ???c,rilai?'bil?ti,2,4"
"Single-purpose, ??n m?c ?ích,s??????lp???p?s,2,3"
"Teleconference, H?i th?o t? xa,[t??l?k??nf??ns,2,4"
