,,,,,
,Tape," Ghi băng, băng",teip,1,4
,Terminal, Máy trạm,tɜ:minl,1,4
,Transmit, Truyền,trænz'mit,1,1
,Abacus, Bàn tính,æbəkəs,1,4
,Allocate,  Phân phối,æləkeit,1,1
,Analog, Tương tự,ˈanlˌôɡ,1,4
,Application, Ứng dụng,",æpli'kei∫n",1,4
,Binary," Nhị phân, thuộc về nhị phân",bainəri,1,1
,Calculation, Tính toán,",kælkjʊ'lei∫n",1,4
,Command," Ra lệnh, lệnh (trong máy tính)",kə'mɑ:nd,1,1
,Dependable, Có thể tin cậy được,di'pendəbl,1,3
,Devise, Phát minh,di'vaiz,2,1
,Different, Khác biệt,difrənt,2,3
,Digital," Số, thuộc về số",didʒitl,2,4
,Experiment, Thí nghiệm,ik'sperimənt,2,4
,Figure out," Tính toán, tìm ra",fˈɪɡəɹ ˈa͡ʊt,2,1
,Generation, Thế hệ,dʒenə'rei∫n,2,4
,History, Lịch sử,histri,2,4
,Imprint,"  In, khắc",im'print,2,1
,Integrate, Tích hợp,intigreit,2,1
,Invention, Phát minh,in'ven∫n,2,4
,Layer," Tầng, lớp",leiə[r],2,4
,Mainframe computer, Máy tính lớn,mˈe‍ɪnfɹe‍ɪm kəmpjˈuːtə,2,4
,Ability, Khả năng,ə'biliti,2,4
,Access, Sự truy cập,ækses,2,4
,Acoustic coupler, Bộ ghép âm,ɐkˈuːstɪk kˈʌplə,2,4
,Analyst, Nhà phân tích,ænəlist,2,4
,Centerpiece, Mảnh trung tâm,ˈsɛntɚˌpiːs,2,4
,Channel,  Kênh,'t∫ænl,2,4
,Characteristic,"Đặc thù, đặc trưng",",kærəktə'ristik",2,4
,Cluster controller, Bộ điều khiển trùm,,2,4
,Consist (of), Bao gồm,kən'sist,2,1
,Convert, Chuyển đổi,kən'vɜ:t,2,1
,Equipment, Trang thiết bị,i'kwipmənt,2,4
,Multiplexor , Bộ dồn kênh,,2,4
,Network, Mạng,netwɜ:k,2,4
,Peripheral, Ngoại vi,pə'rifərəl,2,4
,Reliability, Sự có thể tin cậy được,rilaiə'biləti,2,4
,Single-purpose, Đơn mục đích,sˈɪŋɡə‍lpˈɜːpəs,2,3
,Teleconference, Hội thảo từ xa,[tˈɛlɪkˌɒnfɹəns,2,4
